sapsMLT sapsLat sapsVel normMLT probOcc dst_median
23.0 62.5 379.225767929 -1.0 0.50864830237 -18.0
23.0 63.5 387.394661904 -1.0 0.210121716848 -18.0
0.0 56.5 339.5505801 0.0 0.326558265583 -36.0
0.0 57.5 320.254910518 0.0 0.445799457995 -36.0
0.0 58.5 330.082850919 0.0 0.426829268293 -36.0
0.0 59.5 348.058458834 0.0 0.409891598916 -36.0
0.0 60.5 342.703797366 0.0 0.294715447154 -36.0
1.0 55.5 320.09227579 1.0 0.207994579946 -36.0
1.0 56.5 297.916230695 1.0 0.321815718157 -36.0
1.0 57.5 303.662804727 1.0 0.342140921409 -36.0
1.0 58.5 308.497594753 1.0 0.297425474255 -36.0
1.0 59.5 301.29064419 1.0 0.256097560976 -36.0
2.0 56.5 287.866808236 2.0 0.247967479675 -36.0
2.0 57.5 286.094971832 2.0 0.235094850949 -36.0
18.0 60.5 526.177055998 -6.0 0.277100271003 -36.0
18.0 61.5 520.7206065 -6.0 0.306233062331 -36.0
18.0 62.5 526.684240846 -6.0 0.310298102981 -36.0
18.0 63.5 486.409311403 -6.0 0.244579945799 -36.0
19.0 57.5 536.794021852 -5.0 0.216802168022 -36.0
19.0 58.5 573.260179103 -5.0 0.345528455285 -36.0
19.0 59.5 509.858588249 -5.0 0.512195121951 -36.0
19.0 60.5 508.502156351 -5.0 0.542005420054 -36.0
19.0 61.5 517.992529411 -5.0 0.510840108401 -36.0
19.0 62.5 489.629782754 -5.0 0.422764227642 -36.0
19.0 63.5 468.94094195 -5.0 0.273712737127 -36.0
20.0 56.5 390.625129512 -4.0 0.225609756098 -36.0
20.0 57.5 469.151519215 -4.0 0.456639566396 -36.0
20.0 58.5 532.009189214 -4.0 0.642953929539 -36.0
20.0 59.5 524.048253047 -4.0 0.738482384824 -36.0
20.0 60.5 512.408655118 -4.0 0.731707317073 -36.0
20.0 61.5 509.28427566 -4.0 0.608401084011 -36.0
20.0 62.5 483.966230945 -4.0 0.463414634146 -36.0
20.0 63.5 447.216489119 -4.0 0.287262872629 -36.0
21.0 56.5 420.326592187 -3.0 0.424796747967 -36.0
21.0 57.5 501.221106444 -3.0 0.679539295393 -36.0
21.0 58.5 506.240881743 -3.0 0.926829268293 -36.0
21.0 59.5 475.031786004 -3.0 1.0 -36.0
21.0 60.5 467.103370867 -3.0 0.937669376694 -36.0
21.0 61.5 451.477291258 -3.0 0.693766937669 -36.0
21.0 62.5 456.139701372 -3.0 0.462737127371 -36.0
21.0 63.5 442.387761798 -3.0 0.273712737127 -36.0
22.0 55.5 318.574738342 -2.0 0.224254742547 -36.0
22.0 56.5 406.628532459 -2.0 0.493902439024 -36.0
22.0 57.5 409.305009538 -2.0 0.771002710027 -36.0
22.0 58.5 410.765675259 -2.0 0.936314363144 -36.0
22.0 59.5 413.086488557 -2.0 0.978997289973 -36.0
22.0 60.5 416.153047774 -2.0 0.909891598916 -36.0
22.0 61.5 431.172126328 -2.0 0.627371273713 -36.0
22.0 62.5 414.671012062 -2.0 0.34891598916 -36.0
23.0 56.5 365.139244015 -1.0 0.329945799458 -36.0
23.0 57.5 345.478223292 -1.0 0.582655826558 -36.0
23.0 58.5 353.955815647 -1.0 0.668699186992 -36.0
23.0 59.5 365.410571765 -1.0 0.64972899729 -36.0
23.0 60.5 371.338343776 -1.0 0.533197831978 -36.0
23.0 61.5 354.935831331 -1.0 0.317073170732 -36.0
0.0 55.5 397.962522322 0.0 0.248979591837 -57.0
0.0 56.5 365.378175051 0.0 0.289795918367 -57.0
0.0 57.5 324.419380434 0.0 0.242857142857 -57.0
18.0 57.5 729.051649652 -6.0 0.210204081633 -57.0
18.0 58.5 708.517728503 -6.0 0.279591836735 -57.0
18.0 59.5 603.334306101 -6.0 0.397959183673 -57.0
18.0 60.5 606.207332119 -6.0 0.428571428571 -57.0
18.0 61.5 545.817679303 -6.0 0.383673469388 -57.0
18.0 62.5 509.761946247 -6.0 0.25306122449 -57.0
19.0 55.5 515.266736316 -5.0 0.228571428571 -57.0
19.0 56.5 623.796320815 -5.0 0.39387755102 -57.0
19.0 57.5 716.611503914 -5.0 0.489795918367 -57.0
19.0 58.5 702.843678623 -5.0 0.634693877551 -57.0
19.0 59.5 654.781827364 -5.0 0.7 -57.0
19.0 60.5 578.743418524 -5.0 0.659183673469 -57.0
19.0 61.5 545.209610482 -5.0 0.355102040816 -57.0
19.0 62.5 499.167156535 -5.0 0.230612244898 -57.0
20.0 54.5 433.369670524 -4.0 0.226530612245 -57.0
20.0 55.5 532.046251199 -4.0 0.49387755102 -57.0
20.0 56.5 657.056264197 -4.0 0.738775510204 -57.0
20.0 57.5 609.994322275 -4.0 1.0 -57.0
20.0 58.5 590.578282417 -4.0 0.979591836735 -57.0
20.0 59.5 591.521737752 -4.0 0.85306122449 -57.0
20.0 60.5 617.693768617 -4.0 0.571428571429 -57.0
20.0 61.5 630.158086725 -4.0 0.302040816327 -57.0
21.0 54.5 415.919822896 -3.0 0.312244897959 -57.0
21.0 55.5 501.776203139 -3.0 0.587755102041 -57.0
21.0 56.5 530.599383346 -3.0 0.912244897959 -57.0
21.0 57.5 551.932648383 -3.0 0.987755102041 -57.0
21.0 58.5 518.597984374 -3.0 0.832653061224 -57.0
21.0 59.5 521.829285927 -3.0 0.628571428571 -57.0
21.0 60.5 495.890031734 -3.0 0.326530612245 -57.0
21.0 61.5 408.883877974 -3.0 0.248979591837 -57.0
22.0 54.5 402.893249315 -2.0 0.34693877551 -57.0
22.0 55.5 452.680770996 -2.0 0.669387755102 -57.0
22.0 56.5 523.517566818 -2.0 0.757142857143 -57.0
22.0 57.5 530.568453523 -2.0 0.742857142857 -57.0
22.0 58.5 553.842848405 -2.0 0.579591836735 -57.0
22.0 59.5 422.449063208 -2.0 0.3 -57.0
22.0 60.5 414.075966507 -2.0 0.224489795918 -57.0
23.0 54.5 364.822179267 -1.0 0.295918367347 -57.0
23.0 55.5 361.488995727 -1.0 0.448979591837 -57.0
23.0 56.5 402.016994851 -1.0 0.487755102041 -57.0
23.0 57.5 409.290603514 -1.0 0.371428571429 -57.0
23.0 58.5 425.222828315 -1.0 0.232653061224 -57.0
