dateStr radId radNames timeStr
20110529 207.0 cve 0130
20110529 33.0 bks 0130
20110529 205.0 fhe 0130
20110529 204.0 fhw 0200
20110529 206.0 cvw 0200
20110529 207.0 cve 0200
20110529 33.0 bks 0200
20110529 205.0 fhe 0200
20110529 206.0 cvw 0430
20110529 204.0 fhw 0430
20110529 207.0 cve 0430
20110529 33.0 bks 0430
20110529 205.0 fhe 0430
20110529 32.0 wal 0500
20110529 205.0 fhe 0500
20110529 204.0 fhw 0500
20110529 206.0 cvw 0500
20110529 207.0 cve 0500
20110529 33.0 bks 0500
20110529 33.0 bks 0530
20110529 205.0 fhe 0530
20110529 32.0 wal 0530
20110529 206.0 cvw 0530
20110529 207.0 cve 0530
20110531 33.0 bks 0630
20110531 205.0 fhe 0630
20110531 204.0 fhw 0630
20110531 206.0 cvw 0630
20110531 207.0 cve 0630
20110531 204.0 fhw 0700
20110531 205.0 fhe 0700
20110531 33.0 bks 0700
20110531 206.0 cvw 0700
20110531 207.0 cve 0700
20110531 204.0 fhw 0730
20110531 207.0 cve 0730
20110531 33.0 bks 0730
20110531 205.0 fhe 0730
20110531 206.0 cvw 0730
20110531 204.0 fhw 0800
20110531 207.0 cve 0800
20110531 205.0 fhe 0800
20110531 33.0 bks 0800
20110531 206.0 cvw 0800
20110531 204.0 fhw 0830
20110531 207.0 cve 0830
20110531 33.0 bks 0830
20110531 206.0 cvw 0830
20110602 204.0 fhw 0700
20110602 205.0 fhe 0700
20110602 33.0 bks 0700
20110602 32.0 wal 0700
20110602 206.0 cvw 0700
20110602 207.0 cve 0700
20110602 204.0 fhw 0730
20110602 207.0 cve 0730
20110602 205.0 fhe 0730
20110602 206.0 cvw 0730
20110605 204.0 fhw 0100
20110605 206.0 cvw 0100
20110605 207.0 cve 0100
20110605 205.0 fhe 0100
20110605 33.0 bks 0100
20110605 32.0 wal 0100
20110608 32.0 wal 0430
20110608 207.0 cve 0430
20110608 204.0 fhw 0430
20110608 205.0 fhe 0430
20110608 33.0 bks 0430
20110608 204.0 fhw 0500
20110608 207.0 cve 0500
20110608 205.0 fhe 0500
20110608 33.0 bks 0500
20110609 205.0 fhe 0630
20110609 206.0 cvw 0630
20110609 204.0 fhw 0630
20110609 207.0 cve 0630
20110611 33.0 bks 0700
20110611 32.0 wal 0700
20110611 206.0 cvw 0700
20110611 207.0 cve 0700
20110611 204.0 fhw 0700
20110611 204.0 fhw 0800
20110611 207.0 cve 0800
20110611 205.0 fhe 0800
20110611 33.0 bks 0800
20110611 206.0 cvw 0800
20110611 204.0 fhw 0830
20110611 206.0 cvw 0830
20110611 207.0 cve 0830
20110611 205.0 fhe 0830
20110611 33.0 bks 0830
20110611 32.0 wal 0830
20110611 204.0 fhw 0900
20110611 206.0 cvw 0900
20110611 207.0 cve 0900
20110611 205.0 fhe 0900
20110620 206.0 cvw 0830
20110620 207.0 cve 0830
20110620 204.0 fhw 0830
20110620 205.0 fhe 0830
20110620 33.0 bks 0830
20110621 204.0 fhw 0730
20110621 207.0 cve 0730
