dateStr time radId
20110611 830 204.0
20110611 830 206.0
20110611 830 207.0
20110611 830 205.0
20110611 830 33.0
20110611 830 32.0
20110611 900 204.0
20110611 900 206.0
20110611 900 207.0
20110611 900 205.0
20110620 830 206.0
20110620 830 207.0
20110620 830 204.0
20110620 830 205.0
20110620 830 33.0
20110621 730 204.0
20110621 730 207.0
20110621 730 205.0
20110621 730 33.0
20110621 730 206.0
20110621 800 204.0
20110621 800 207.0
20110621 800 205.0
20110621 800 33.0
20110621 800 206.0
20110621 830 204.0
20110621 830 206.0
20110621 830 207.0
20110621 830 33.0
20110621 830 205.0
20110621 900 204.0
20110621 900 206.0
20110621 900 207.0
20110621 900 205.0
20110622 630 33.0
20110622 630 205.0
20110622 630 206.0
20110622 630 207.0
20110622 630 204.0
20110623 630 205.0
20110623 630 33.0
20110623 630 204.0
20110623 630 206.0
20110623 630 207.0
20110623 700 33.0
20110623 700 204.0
20110623 700 205.0
20110623 700 206.0
20110623 700 207.0
20110623 730 204.0
20110623 730 33.0
20110623 730 205.0
20110623 730 32.0
20110623 730 206.0
20110624 230 206.0
20110624 230 207.0
20110624 230 33.0
20110624 230 205.0
20110625 600 33.0
20110625 600 205.0
20110625 600 32.0
20110625 600 204.0
20110625 600 207.0
20110625 630 205.0
20110625 630 33.0
20110625 630 32.0
20110625 630 206.0
20110625 630 204.0
20110625 630 207.0
20110625 700 204.0
20110625 700 205.0
20110625 700 207.0
20110625 700 33.0
20110625 700 206.0
20110625 730 204.0
20110625 730 207.0
20110625 730 33.0
20110625 730 205.0
20110625 730 206.0
20110625 800 204.0
20110625 800 207.0
20110625 800 205.0
20110625 800 33.0
20110625 800 206.0
20110701 630 205.0
20110701 630 32.0
20110701 630 206.0
20110701 630 207.0
20110701 630 204.0
20110701 700 204.0
20110701 700 205.0
20110701 700 207.0
20110701 700 32.0
20110701 700 206.0
20110701 730 204.0
20110701 730 207.0
20110701 730 205.0
20110701 730 32.0
20110701 730 206.0
20110701 800 207.0
20110701 800 204.0
20110701 800 205.0
20110701 800 32.0
20110701 800 206.0
20110701 830 204.0
20110701 830 207.0
20110701 830 205.0
20110701 830 206.0
20110705 430 32.0
20110705 430 204.0
20110705 430 206.0
20110705 430 207.0
20110705 430 205.0
20110705 500 32.0
20110705 500 206.0
20110705 500 204.0
20110705 500 207.0
20110705 500 205.0
20110705 530 205.0
20110705 530 32.0
20110705 530 206.0
20110705 530 204.0
20110705 530 207.0
20110705 600 205.0
20110705 600 32.0
20110705 600 206.0
20110705 600 204.0
20110709 600 205.0
20110709 600 32.0
20110709 600 204.0
20110709 600 206.0
20110709 600 207.0
20110720 600 205.0
20110720 600 32.0
20110720 600 206.0
20110720 600 204.0
20110720 600 207.0
20110720 630 205.0
20110720 630 207.0
20110720 630 32.0
20110720 630 206.0
20110720 630 204.0
20110720 700 204.0
20110720 700 205.0
20110720 700 207.0
20110720 700 32.0
20110720 700 206.0
20110721 600 205.0
20110721 600 204.0
20110721 600 206.0
20110721 600 207.0
20110722 630 205.0
20110722 630 206.0
20110722 630 204.0
20110722 630 207.0
20110722 700 204.0
20110722 700 205.0
20110722 700 206.0
20110722 700 207.0
20110722 730 204.0
20110722 730 207.0
20110722 730 205.0
20110722 730 32.0
20110722 730 206.0
20110722 800 204.0
20110722 800 207.0
20110722 800 205.0
20110722 800 206.0
20110722 830 204.0
20110722 830 207.0
20110722 830 205.0
20110722 830 206.0
20110723 630 205.0
20110723 630 206.0
20110723 630 204.0
20110723 630 207.0
20110723 730 204.0
20110723 730 207.0
20110723 730 205.0
20110723 730 206.0
20110723 800 204.0
20110723 800 207.0
20110723 800 205.0
20110723 800 206.0
20110723 930 206.0
20110723 930 204.0
20110723 930 207.0
20110723 930 205.0
20110725 800 204.0
20110725 800 207.0
20110725 800 205.0
20110725 800 206.0
20110725 830 204.0
20110725 830 206.0
20110725 830 207.0
20110725 830 205.0
20110801 500 32.0
20110801 500 204.0
20110801 500 207.0
20110801 500 205.0
20110801 530 32.0
20110801 530 206.0
20110801 530 204.0
20110801 530 207.0
20110801 530 205.0
20110801 600 206.0
20110801 600 204.0
20110801 600 207.0
20110801 600 205.0
20110801 730 204.0
20110801 730 205.0
20110801 730 206.0
20110801 730 207.0
20110806 100 207.0
20110806 100 204.0
20110806 100 205.0
20110806 100 32.0
20110806 200 206.0
20110806 200 207.0
20110806 200 204.0
20110806 200 205.0
20110806 200 32.0
20110806 230 206.0
20110806 230 207.0
20110806 230 204.0
20110806 230 205.0
20110806 230 32.0
20110806 300 206.0
20110806 300 207.0
20110806 300 204.0
20110806 300 205.0
20110806 330 206.0
20110806 330 207.0
20110806 330 204.0
20110806 330 205.0
20110806 400 206.0
20110806 400 207.0
20110806 400 204.0
20110806 400 205.0
20110807 600 206.0
20110807 600 204.0
20110807 600 207.0
20110807 600 205.0
20110809 700 32.0
20110809 700 205.0
20110809 700 206.0
20110809 700 207.0
20110810 830 207.0
20110810 830 204.0
20110810 830 205.0
20110810 830 206.0
20110814 700 205.0
20110814 700 207.0
20110814 700 206.0
20110814 700 204.0
20110903 700 204.0
20110903 700 205.0
20110903 700 207.0
20110903 700 32.0
20110904 700 205.0
20110904 700 32.0
20110904 700 206.0
20110904 700 204.0
20110904 700 207.0
20110904 730 204.0
20110904 730 207.0
20110904 730 205.0
20110904 730 32.0
20110904 730 206.0
20110910 200 206.0
20110910 200 207.0
20110910 200 204.0
20110910 200 205.0
20110910 200 32.0
20110910 230 206.0
20110910 230 204.0
20110910 230 207.0
20110910 230 205.0
20110910 300 204.0
20110910 300 206.0
20110910 300 207.0
20110910 300 205.0
20110912 400 32.0
20110912 400 206.0
20110912 400 204.0
20110912 400 207.0
20110912 400 205.0
20110912 430 32.0
20110912 430 206.0
20110912 430 207.0
20110912 430 204.0
20110912 430 205.0
20110912 500 206.0
20110912 500 204.0
20110912 500 207.0
20110912 500 205.0
20110912 530 206.0
20110912 530 204.0
20110912 530 207.0
20110912 530 205.0
20110913 230 206.0
20110913 230 204.0
20110913 230 207.0
20110913 230 205.0
20110913 230 32.0
20110913 300 206.0
